Content,Video title,Video publish time,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
UpNGiISb5-o,I Can't Believe Ayaka Said This in Genshin Impact #shorts #genshinimpact #funny #meme,"May 27, 2023",0,1,11,181,0.7641,0,218,2.75
VbZZV7OlCYQ,EPIC MARKET GARDENING,"Feb 18, 2016",0,0,5,35,0.3999,0,201,0.5
WeUktyGSvf8,Undertale Part 1,"Mar 19, 2017",0,0,1,7,0.0782,0,110,0
ZZX6sdtBtZQ,Channel Trailer,"Jun 12, 2016",0,0,5,50,0.3969,0,94,0
_-63xXZisFU,[TF2] - Meet The Canon Jumper #shorts #tf2,"Jul 8, 2023",0,1,18,1170,3.9539,1,188,3.72
aMB2LLwIOhc,Leave,,0,0,1,6,0.0131,0,35,2.86
aOdoO5GGwbQ,Taunt kill camp ( Sort of .......),"Jan 1, 2016",0,0,3,30,0.4588,0,109,0.92
aaTLVwlQhxg,{ TF2 } Hale servers are awesome,"Nov 19, 2016",0,0,1,23,0.9327,0,148,3.38
abiHHUcHMXY,[TF2] - Pyro Can Pipe Jump #shorts,"May 21, 2023",0,0,29,1329,5.0558,0,1114,1.17
csWupl4575g,demoman montage,"Apr 25, 2024",0,0,1,6,0.0183,0,85,2.35
dLqhKFSC9Ak,{ Tf2 } Sniper Montage #3,"Jan 20, 2017",0,0,3,43,1.2204,0,161,1.24
dQuMaVPmhts,The most useless websites,"Jul 6, 2016",0,0,5,21,0.7615,0,229,2.18
